drug_set_id,ds_version,plate_date,plate_id,scan_id,format,assay,cell_line_name,cell_id,drug_id,maxConc,maxConcPos,IC_ID,IC_50_EST,IC_50_LOW,IC_50_HIGH,AUC
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1372,1,301,1882247,-6.230797,-6.99426,-5.550441,0.607066
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1373,10,330,1882248,-1.009609,-1.568329,-0.465497,0.681106
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1374,1,162,1882249,-6.847001,-7.472722,-6.276495,0.418576
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1549,5,66,1882250,3.031171,1.813545,5.067263,0.856608
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,4000,1,186,1882251,0.434056,-2.771032,4.309737,0.85546
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1001,2000,27,1757364,-1.021405,-2.305814,-0.064991,0.422579
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1001,2000,27,1918604,4.890115,4.543691,5.563461,0.592248
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1003,0.1,75,1757365,-1.453141,-2.61276,3.186361,0.901963
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1003,0.1,75,1918605,-0.535132,-1.477101,1.384865,0.966821
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1005,6,219,1757366,4.638708,2.656373,8.810032,0.977129
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1005,6,219,1918606,3.463246,2.572246,4.995185,0.947928
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1007,0.0125,123,1757367,-8.482611,-9.817716,-6.975258,0.452774
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1007,0.0125,123,1918607,-6.209188,-6.525831,-5.989636,0.670089
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1011,2,315,1757368,5.459622,2.524091,9.812025,0.995492
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1011,2,315,1918608,4.252443,2.162561,8.068135,0.987563
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1012,10,51,1757369,0.010277,-0.97742,2.049292,0.582128
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1012,10,51,1918609,1.919235,1.390427,2.825677,0.838653
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1013,2,99,1757370,5.004042,2.286503,9.50598,0.994256
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1013,2,99,1918610,3.567838,1.937886,6.70713,0.980953
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1017,5,147,1757371,-7.892513,-12.215399,-5.161285,0.449468
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1017,5,147,1918611,-4.931838,-5.553308,-4.501417,0.392344
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1019,2,243,1757372,1.823718,0.913597,4.056548,0.927307
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1019,2,243,1918612,3.336128,1.926276,5.917501,0.969525
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1020,5,291,1757373,5.684992,3.066414,9.875398,0.993417
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1020,5,291,1918613,6.156814,3.643621,10.071164,0.994905
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1021,2,339,1757374,2.107696,0.931393,6.047199,0.93967
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1021,2,339,1918614,4.837015,2.491371,8.836555,0.992228
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1023,2,32,1757375,-2.756373,-7.476171,-0.675084,0.668114
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1023,2,32,1918615,3.636297,2.008039,6.482715,0.958466
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1024,2,80,1757376,0.624623,0.034731,3.425303,0.860548
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1024,2,80,1918616,1.745057,1.1804,3.045129,0.949003
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1025,10,128,1757377,7.121133,4.189068,11.940283,0.995492
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1025,10,128,1918617,7.594559,4.687084,11.758497,0.998486
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1026,1,176,1757378,0.669494,-0.276323,5.076001,0.898873
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1026,1,176,1918618,2.620308,-0.076788,7.703343,0.980196
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1029,2,224,1757379,5.131247,2.43037,9.377277,0.994652
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1029,2,224,1918619,5.549821,2.828271,9.761891,0.995519
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1030,10,272,1757380,6.432619,3.826806,10.542833,0.993417
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1030,10,272,1918620,6.692734,4.246716,10.443777,0.994905
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1032,0.5,320,1757381,1.409114,-0.130188,4.987246,0.956978
